LOADCNLN02
LOAD   P2B4     -2.1621-9.57682.86190-0.0001 0.000130.00030 GLOB JOIN
LOAD   P2B5     -2.2538-9.48742.88560-0.0002 0.00002-0.0003 GLOB JOIN
LOAD   P2B8     2.25550-9.48832.88740-0.0002  0.00000.00030 GLOB JOIN
LOAD   P2C1     1.94270-8.34142.51030-0.0001 -0.0001-0.0001 GLOB JOIN
LOAD   P2C4     -1.9434-8.34222.51000-0.0001 0.000090.00012 GLOB JOIN
LOAD   P2C5     -1.9456-8.33922.50400-0.0002 0.00005-0.0001 GLOB JOIN
LOAD   P2C8     1.94640-8.34052.50460-0.0002  0.00000.00012 GLOB JOIN
LOAD   P2D1     1.83040-7.88272.40250-0.0002 -0.0001-0.0001 GLOB JOIN
LOAD   P2D4     -1.8308-7.88292.40250-0.0002 0.000110.00012 GLOB JOIN
LOAD   P2D5     -1.8295-7.88052.39690-0.0002 0.00006-0.0001 GLOB JOIN
LOAD   P2D8     1.83020-7.88212.39650-0.0002 -0.00010.00011 GLOB JOIN
LOAD   P2E1     1.92610-8.32222.51020-0.0001 -0.0001-0.0001 GLOB JOIN
LOAD   P2E4     -1.9265-8.32262.51060-0.0001 0.000090.00012 GLOB JOIN
LOAD   P2E5     -1.9249-8.32842.50460-0.0002 0.00005-0.0001 GLOB JOIN
LOAD   P2E8     1.92440-8.32642.50500-0.0002  0.00000.00012 GLOB JOIN
LOAD   P2F1     2.22100-9.91392.95260-0.0003  0.00000.00039 GLOB JOIN
LOAD   P2F4     -2.2209-9.91372.95240-0.0003 0.00001-0.0004 GLOB JOIN
LOAD   P2F5     -2.4809-9.64602.91620-0.0001 0.000150.00039 GLOB JOIN
LOAD   P2F8     2.48210-9.64692.91690-0.0001 -0.0001-0.0004 GLOB JOIN
LOAD   P2G1     1.35430-5.08521.64340-0.0002 0.000030.00045 GLOB JOIN
LOAD   P2G4     -1.3549-5.08571.64320-0.0002  0.0000-0.0005 GLOB JOIN
LOAD   P2G5     -1.1287-5.32741.61010 0.0000 0.000130.00045 GLOB JOIN
LOAD   P2G8     1.12940-5.32981.61020 0.0000 -0.0001-0.0005 GLOB JOIN
LOAD   P311     0.87732-43.27012.15100.01532 -0.0002-0.0006 GLOB JOIN
LOAD   P314     -0.8792-43.27212.15100.01944 0.000030.00075 GLOB JOIN
LOAD   P315     -0.5719-42.99812.21900.11048 0.00016-0.0008 GLOB JOIN
LOAD   P318     0.57209-42.99912.21800.11453 0.000510.00065 GLOB JOIN
LOAD   P321     1.29070-3.14140.76162-0.0003 -0.0001-0.0010 GLOB JOIN
LOAD   P324     -1.2915-3.14050.76179-0.0003 0.000140.00100 GLOB JOIN
LOAD   P325     -1.3741-3.21100.895820.00007 -0.0002-0.0010 GLOB JOIN
LOAD   P328     1.37400-3.21160.895950.00007 0.000230.00100 GLOB JOIN
LOAD   P331     1.02770-2.59070.61841-0.0002 -0.0001-0.0008 GLOB JOIN
LOAD   P334     -1.0277-2.59120.61882-0.0002 0.000110.00080 GLOB JOIN
LOAD   P335     -1.0530-2.61950.724610.00006 -0.0002-0.0008 GLOB JOIN
LOAD   P338     1.05330-2.61910.724940.00006 0.000180.00080 GLOB JOIN
LOAD   P341     0.99045-2.45860.56432-0.0002 -0.0001-0.0008 GLOB JOIN
LOAD   P344     -0.9904-2.45860.56488-0.0002 0.000110.00075 GLOB JOIN
LOAD   P345     -0.9903-2.45860.676640.00004 -0.0002-0.0008 GLOB JOIN
LOAD   P348     0.99076-2.45810.676590.00004 0.000190.00075 GLOB JOIN
LOAD   P351     1.06340-2.61020.61711-0.0002 -0.0001-0.0008 GLOB JOIN
LOAD   P354     -1.0632-2.61080.61769-0.0002 0.000110.00080 GLOB JOIN
LOAD   P355     -1.0381-2.58100.725320.00005 -0.0002-0.0008 GLOB JOIN
LOAD   P358     1.03800-2.58130.725130.00005 0.000180.00080 GLOB JOIN
LOAD   P361     0.86324-2.41720.59054-0.0002 -0.0001-0.0007 GLOB JOIN
LOAD   P364     -0.8633-2.41760.59074-0.0002 0.000090.00069 GLOB JOIN
LOAD   P365     -0.9407-2.49950.698800.00003 -0.0002-0.0007 GLOB JOIN
LOAD   P368     0.94072-2.49950.698540.00004 0.000160.00069 GLOB JOIN
LOAD   P371     0.30783-97.39327.69300.22843 -0.00530.00105 GLOB JOIN
LOAD   P374     -0.3122-97.39627.69200.23803 -0.00540.00125 GLOB JOIN
LOAD   P375     -0.4549-97.51427.71200.45053 -0.00430.00091 GLOB JOIN
LOAD   P378     0.45503-97.51727.71100.46034 -0.00430.00107 GLOB JOIN
LOAD   P3A1     -1.2044-5.35821.58200-0.0001  0.0000-0.0002 GLOB JOIN
LOAD   P3A4     1.20400-5.35791.58240-0.0001 0.000000.00024 GLOB JOIN
